"Day","Cash On Hand"
11,191886
12,176675
13,704090
14,46655
15,354577
16,896159
17,794197
18,2501036
19,1689214
20,3508676
21,3355877
22,6259661
23,6851654
24,8258840
25,9123825
26,9416473
27,10367689
28,10095454
29,11559844
30,12045695
31,10158983
32,10550092
33,14419798
34,19340024
35,21965117
36,22812409
37,24149422
38,24746236
39,23377460
40,24580754
41,24941725
42,23364571
43,24256960
44,28078774
45,32995274
46,34310453
47,34525507
48,35261725
49,35979300
50,34113721
51,34391533
52,38612966
53,41041324
54,43334421
55,44968125
56,46638498
57,47195601
58,47261146
59,48037460
60,47098969
61,47592949
62,48176411
63,50331519
64,50828797
65,53903057
66,51526827
67,52247378
68,53931744
69,53722052
70,57520977
71,61364756
72,64275927
73,65089565
74,64597251
75,65518362
76,64415621
77,65256134
78,66727842
79,67548503
80,69267875
81,67978412
82,69429916
83,69949965
84,74513102
85,80583734
86,81495969
87,81476977
88,82848364
89,84961178
90,85027592
